,train,val,test
0,002A,39,34A
1,002B,87,34B
2,005,024,88
3,006A,83,60
4,006B,099,91
5,007A,35,61
6,009B,008,37
7,009C,41,89
8,010A,021,63
9,010B,,102
10,014B,,
11,022,,
12,023A,,
13,023B,,
14,023C,,
15,025A,,
16,025B,,
17,025C,,
18,026,,
19,36,,
20,38,,
21,40A,,
22,40B,,
23,40C,,
24,44,,
25,46,,
26,48,,
27,52,,
28,54,,
29,55,,
30,62A,,
31,62B,,
32,62C,,
33,62D,,
34,65,,
35,67A,,
36,67B,,
37,67C,,
38,75,,
39,79,,
40,81A,,
41,81B,,
42,81C,,
43,81D,,
44,85A,,
45,85B,,
46,85C,,
47,85D,,
48,98A,,
49,98B,,
50,98C,,
51,101A,,
52,106A,,
53,106B,,
54,001,,
55,003,,
56,004,,
57,011A,,
58,011B,,
59,011C,,
60,012,,
61,013,,
62,017,,
63,020A,,
64,020B,,
65,33,,
66,42,,
67,47,,
68,49,,
69,50,,
70,53,,
71,56A,,
72,56B,,
73,57,,
74,58,,
75,59,,
76,64,,
77,66,,
78,68,,
79,69A,,
80,69B,,
81,69C,,
82,70,,
83,71,,
84,72A,,
85,72B,,
86,74A,,
87,74B,,
88,76A,,
89,76B,,
90,76C,,
91,77,,
92,78,,
93,82,,
94,84,,
95,86A,,
96,86B,,
97,90A,,
98,90B,,
99,92,,
100,93,,
101,94B,,
102,103,,
103,104,,
104,105,,
