,train,val,test
0,002A,101A,006A
1,002B,98A,006B
2,005,98B,024
3,007A,98C,38
4,009B,65,025A
5,009C,48,025B
6,010A,90A,025C
7,010B,90B,33
8,014B,84,008
9,022,66,59
10,023A,021,105
11,023B,92,61
12,023C,,
13,026,,
14,34A,,
15,34B,,
16,36,,
17,39,,
18,40A,,
19,40B,,
20,40C,,
21,44,,
22,46,,
23,52,,
24,54,,
25,55,,
26,60,,
27,62A,,
28,62B,,
29,62C,,
30,62D,,
31,67A,,
32,67B,,
33,67C,,
34,75,,
35,79,,
36,81A,,
37,81B,,
38,81C,,
39,81D,,
40,83,,
41,85A,,
42,85B,,
43,85C,,
44,85D,,
45,87,,
46,88,,
47,91,,
48,106A,,
49,106B,,
50,001,,
51,003,,
52,004,,
53,011A,,
54,011B,,
55,011C,,
56,012,,
57,013,,
58,017,,
59,020A,,
60,020B,,
61,35,,
62,37,,
63,41,,
64,42,,
65,47,,
66,49,,
67,50,,
68,53,,
69,56A,,
70,56B,,
71,57,,
72,58,,
73,63,,
74,64,,
75,68,,
76,69A,,
77,69B,,
78,69C,,
79,70,,
80,71,,
81,72A,,
82,72B,,
83,74A,,
84,74B,,
85,76A,,
86,76B,,
87,76C,,
88,77,,
89,78,,
90,82,,
91,86A,,
92,86B,,
93,89,,
94,93,,
95,94B,,
96,099,,
97,102,,
98,103,,
99,104,,
