,train,val,test
0,9f905736-f662-41d6-b3ac-16758d_D1_D1,C3N-02764-22,C3L-02348-22
1,5a84eae1-197e-4463-ad65-59becc_D1_D1,C3N-02764-23,C3L-02348-26
2,C3L-00001-21,C3N-02764-21,C3L-02348-21
3,C3L-00001-26,C3N-02251-26,C3N-01410-22
4,C3L-00009-21,C3N-02251-27,C3N-01410-27
5,C3L-00009-26,C3N-02251-28,C3N-01410-21
6,C3L-00080-21,C3L-00604-21,C3N-01410-23
7,C3L-00080-26,C3L-00604-26,C3N-01410-24
8,C3L-00083-21,C3L-00604-22,C3N-01410-26
9,C3L-00083-26,C3L-00604-23,C3L-00368-21
10,C3L-00093-21,C3N-02919-22,C3L-00368-26
11,C3L-00093-26,C3N-02919-26,C3L-00368-22
12,C3L-00095-21,C3N-02919-21,C3N-02422-21
13,C3L-00095-26,C3N-02919-23,C3N-02422-22
14,C3L-00095-22,C3N-02919-24,C3N-02422-23
15,C3L-00095-23,C3N-02919-27,C3N-02950-22
16,C3L-00140-22,C3N-01413-21,C3N-02950-26
17,C3L-00140-26,C3N-01413-26,C3N-02950-27
18,C3L-00140-21,C3N-01413-22,C3N-02950-21
19,C3L-00144-21,C3N-01413-23,C3L-02834-23
20,C3L-00144-26,C3N-01413-24,C3L-02834-24
21,C3L-00263-24,C3N-01413-27,C3L-02834-25
22,C3L-00263-25,C3N-03222-21,C3L-02834-26
23,C3L-00263-28,C3N-03222-26,C3L-02834-21
24,C3L-00263-21,C3N-03222-22,C3L-02834-22
25,C3L-00263-22,C3N-03222-23,C3N-00704-21
26,C3L-00263-23,C3N-04168-21,C3N-00704-22
27,C3L-00263-26,C3N-04168-26,C3N-00704-23
28,C3L-00263-27,C3N-04168-22,C3N-00704-24
29,C3L-00279-22,C3N-04168-23,C3N-00580-23
30,C3L-00279-23,C3N-00546-21,C3N-00580-26
31,C3L-00279-25,C3N-00546-26,C3N-00580-21
32,C3L-00279-21,C3N-00546-22,C3N-00580-22
33,C3L-00279-24,C3N-00546-23,C3N-00580-24
34,C3L-00279-26,C3N-00546-24,C3N-00580-27
35,C3L-00412-21,C3N-00546-27,C3L-02954-21
36,C3L-00412-26,C3N-00559-21,C3L-02954-26
37,C3L-00422-21,C3N-00559-26,C3N-00167-22
38,C3L-00422-22,C3N-00559-22,C3N-00167-26
39,C3L-00422-25,C3N-00559-23,C3N-00167-21
40,C3L-00422-23,C3N-00559-24,C3N-00167-23
41,C3L-00422-24,C3N-00559-27,C3N-00167-24
42,C3L-00422-26,C3N-01408-22,C3N-00167-27
43,C3L-00444-23,C3N-01408-27,C3N-02572-21
44,C3L-00444-28,C3N-01408-21,C3N-02572-22
45,C3L-00444-21,C3N-01408-23,C3N-02572-23
46,C3L-00444-22,C3N-01408-24,C3L-03271-21
47,C3L-00444-26,C3N-01408-26,C3L-03271-22
48,C3L-00444-27,C3L-00094-21,C3L-03271-24
49,C3L-00446-21,C3L-00094-26,C3L-03271-25
50,C3L-00446-25,C3L-04759-22,C3L-03271-26
51,C3L-00446-22,C3L-04759-27,C3L-03271-23
52,C3L-00446-23,C3L-04759-21,C3N-04173-21
53,C3L-00446-24,C3L-04759-23,C3N-04173-29
54,C3L-00446-26,C3L-04759-24,C3L-02559-21
