,train,val,test
0,9f905736-f662-41d6-b3ac-16758d_D1_D1,2f2e5477-42a4-4906-a943-bf7f80_D1_D1,C3N-00175-22
1,93e30fd5-e57e-4503-a175-863c7d_D1_D1,C3N-02757-21,C3N-00175-26
2,5a84eae1-197e-4463-ad65-59becc_D1_D1,C3N-02757-22,C3N-00175-21
3,C3L-00009-21,C3N-02757-23,C3N-00175-23
4,C3L-00009-26,C3N-03052-21,C3N-00175-24
5,C3L-00080-21,C3N-03052-22,C3N-00175-27
6,C3L-00080-26,C3N-03052-23,C3N-00560-22
7,C3L-00083-21,C3N-02089-23,C3N-00560-26
8,C3L-00083-26,C3N-02089-26,C3N-00560-21
9,C3L-00094-21,C3N-02089-21,C3N-00560-23
10,C3L-00094-26,C3N-02089-22,C3N-00560-24
11,C3L-00095-21,C3N-02089-24,C3N-00560-27
12,C3L-00095-26,C3N-02089-27,C3N-01072-22
13,C3L-00095-22,C3L-02967-21,C3N-01072-26
14,C3L-00095-23,C3L-02967-26,C3N-01072-21
15,C3L-00140-22,C3N-02948-21,C3N-01072-23
16,C3L-00140-26,C3N-02948-22,C3N-01072-24
17,C3L-00140-21,C3N-02948-26,C3N-01072-27
18,C3L-00144-21,C3N-02948-23,C3L-00412-21
19,C3L-00144-26,C3N-02948-27,C3L-00412-26
20,C3L-00263-24,C3N-00169-23,C3L-00893-22
21,C3L-00263-25,C3N-00169-26,C3L-00893-26
22,C3L-00263-28,C3N-00169-21,C3L-00893-21
23,C3L-00263-21,C3N-00169-22,C3L-00893-23
24,C3L-00263-22,C3N-00169-24,C3L-00893-24
25,C3L-00263-23,C3N-00169-27,C3L-00893-25
26,C3L-00263-26,C3L-02513-23,C3L-02616-25
27,C3L-00263-27,C3L-02513-24,C3L-02616-26
28,C3L-00446-21,C3L-02513-21,C3L-02616-21
29,C3L-00446-25,C3L-02513-22,C3L-02616-22
30,C3L-00446-22,C3L-02513-25,C3L-02616-23
31,C3L-00446-23,C3N-02586-21,C3L-02616-24
32,C3L-00446-24,C3N-02586-22,C3L-02616-27
33,C3L-00446-26,C3N-02586-23,C3L-02616-28
34,C3L-00446-27,C3N-00199-22,C3L-02601-21
35,C3L-00913-23,C3N-00199-27,C3L-02601-26
36,C3L-00913-26,C3N-00199-21,C3N-03225-21
37,C3L-00913-21,C3N-00199-23,C3N-03225-26
38,C3L-00913-22,C3N-00199-26,C3N-03225-22
39,C3L-00973-23,C3N-01488-23,C3N-03225-23
40,C3L-00973-27,C3N-01488-26,C3N-01823-22
41,C3L-00973-21,C3N-01488-21,C3N-01823-26
42,C3L-00973-22,C3N-01488-22,C3N-01823-21
43,C3L-00973-24,C3N-01488-24,C3N-01823-23
44,C3L-00973-25,C3N-01488-27,C3N-00551-24
45,C3L-00973-28,C3N-02237-23,C3N-00551-26
46,C3L-01683-26,C3N-02237-26,C3N-00551-21
47,C3L-01683-27,C3N-02237-21,C3N-00551-22
48,C3L-01683-29,C3N-02237-22,C3N-00551-23
49,C3L-01683-28,C3N-02237-24,C3N-00551-27
50,C3L-02129-23,C3N-02237-27,C3N-01405-21
51,C3L-02129-21,C3L-01862-21,C3N-01405-26
52,C3L-02129-24,C3L-01862-22,C3N-01405-27
53,C3L-02129-22,C3L-01862-23,C3N-01405-22
54,C3L-02165-21,C3L-01862-26,C3N-01405-23
55,C3L-02165-24,C3N-02572-21,C3N-01405-24
56,C3L-02165-22,C3N-02572-22,C3N-01074-21
57,C3L-02165-23,C3N-02572-23,C3N-01074-22
58,C3L-02165-25,C3N-02582-21,C3N-01074-23
59,C3L-02169-21,C3N-02582-22,C3N-01074-24
60,C3L-02169-26,C3N-02582-23,C3N-01074-26
61,C3L-02169-22,C3N-02087-21,C3N-01074-27
62,C3L-02169-23,C3N-02087-26,C3L-04757-23
63,C3L-02169-24,C3N-02087-22,C3L-04757-26
64,C3L-02169-25,C3N-02087-23,C3L-04757-21
65,C3L-02219-21,C3N-02087-24,C3L-04757-22
66,C3L-02219-26,C3N-02087-27,C3L-04757-24
67,C3L-02219-22,C3L-01889-21,C3L-04757-25
68,C3L-02350-22,C3L-01889-26,C3L-04757-27
69,C3L-02350-26,C3N-02230-21,C3L-04757-28
70,C3L-02508-22,C3N-02230-26,C3N-03057-22
