,train,val,test
0,2f2e5477-42a4-4906-a943-bf7f80_D1_D1,93e30fd5-e57e-4503-a175-863c7d_D1_D1,C3L-00095-21
1,C3L-00001-21,C3N-01488-23,C3L-00095-26
2,C3L-00001-26,C3N-01488-26,C3L-00095-22
3,C3L-00009-21,C3N-01488-21,C3L-00095-23
4,C3L-00009-26,C3N-01488-22,C3N-02090-23
5,C3L-00083-21,C3N-01488-24,C3N-02090-26
6,C3L-00083-26,C3N-01488-27,C3N-02090-21
7,C3L-00093-21,C3N-00559-21,C3N-02090-22
8,C3L-00093-26,C3N-00559-26,C3N-02090-27
9,C3L-00094-21,C3N-00559-22,C3N-00959-22
10,C3L-00094-26,C3N-00559-23,C3N-00959-26
11,C3L-00140-22,C3N-00559-24,C3N-00959-21
12,C3L-00140-26,C3N-00559-27,C3N-00959-23
13,C3L-00140-21,C3N-00293-24,C3N-00959-27
14,C3L-00144-21,C3N-00293-25,C3N-02433-21
15,C3L-00144-26,C3N-00293-21,C3N-02433-22
16,C3L-00263-24,C3N-00293-22,C3N-02433-23
17,C3L-00263-25,C3N-00293-23,C3N-01489-22
18,C3L-00263-28,C3N-01409-24,C3N-01489-27
19,C3L-00263-21,C3N-01409-21,C3N-01489-21
20,C3L-00263-22,C3N-01409-22,C3N-01489-23
21,C3L-00263-23,C3N-01409-23,C3N-01489-24
22,C3L-00263-26,C3N-01409-27,C3N-01489-26
23,C3L-00263-27,C3N-02922-24,C3L-00368-21
24,C3L-00279-22,C3N-02922-26,C3L-00368-26
25,C3L-00279-23,C3N-02922-21,C3L-00368-22
26,C3L-00279-25,C3N-02922-22,C3L-03984-21
27,C3L-00279-21,C3N-02922-23,C3L-03984-25
28,C3L-00279-24,C3N-02922-27,C3L-03984-26
29,C3L-00279-26,C3N-02379-21,C3L-03984-22
30,C3L-00422-21,C3N-02379-22,C3L-03984-23
31,C3L-00422-22,C3N-02379-23,C3L-03984-24
32,C3L-00422-25,C3L-00080-21,C3L-03984-27
33,C3L-00422-23,C3L-00080-26,C3L-03984-28
34,C3L-00422-24,C3L-03463-27,9f905736-f662-41d6-b3ac-16758d_D1_D1
35,C3L-00422-26,C3L-03463-26,C3L-04033-21
36,C3L-00444-23,C3N-02928-21,C3L-04033-22
37,C3L-00444-28,C3N-02928-22,C3L-04033-27
38,C3L-00444-21,C3N-02928-23,C3L-04033-23
39,C3L-00444-22,C3N-00572-24,C3L-04033-24
40,C3L-00444-26,C3N-00572-26,C3L-04033-25
41,C3L-00444-27,C3N-00572-21,C3L-04033-26
42,C3L-00446-21,C3N-00572-22,C3L-04033-28
43,C3L-00446-25,C3N-00572-23,C3N-02423-21
44,C3L-00446-22,C3N-00572-27,C3N-02423-22
45,C3L-00446-23,5a84eae1-197e-4463-ad65-59becc_D1_D1,C3N-02423-23
46,C3L-00446-24,C3L-02365-21,C3L-02967-21
47,C3L-00446-26,C3L-02365-23,C3L-02967-26
48,C3L-00446-27,C3L-02365-22,C3L-03969-23
49,C3L-00510-22,C3L-02365-24,C3L-03969-24
50,C3L-00510-23,C3L-02365-25,C3L-03969-25
51,C3L-00510-24,C3N-00294-22,C3L-03969-26
52,C3L-00510-21,C3N-00294-21,C3L-03969-27
53,C3L-00510-25,C3N-00294-23,C3L-03969-28
54,C3L-00510-26,C3N-00294-24,C3L-03969-21
55,C3L-00604-21,C3N-00294-25,C3L-03969-22
56,C3L-00604-26,C3N-01405-21,C3L-00412-21
57,C3L-00604-22,C3N-01405-26,C3L-00412-26
58,C3L-00604-23,C3N-01405-27,C3N-01023-24
59,C3L-00893-22,C3N-01405-22,C3N-01023-26
60,C3L-00893-26,C3N-01405-23,C3N-01023-21
61,C3L-00893-21,C3N-01405-24,C3N-01023-22
62,C3L-00893-23,C3N-03929-21,C3N-01023-23
63,C3L-00893-24,C3N-03929-26,C3N-01023-27
64,C3L-00893-25,C3N-03929-22,C3N-02144-22
65,C3L-00913-23,C3N-03929-23,C3N-02144-26
66,C3L-00913-26,C3L-01682-21,C3N-02144-21
67,C3L-00913-21,C3L-01682-23,C3N-02144-23
68,C3L-00913-22,C3L-01682-24,C3N-02144-24
69,C3L-00973-23,C3L-01682-22,C3N-02144-27
70,C3L-00973-27,C3N-00547-21,C3N-02242-24
71,C3L-00973-21,C3N-00547-26,C3N-02242-26
72,C3L-00973-22,C3N-00547-22,C3N-02242-21
73,C3L-00973-24,C3N-00547-23,C3N-02242-22
74,C3L-00973-25,C3N-00547-24,C3N-02242-23
75,C3L-00973-28,C3N-00547-27,C3N-02242-27
76,C3L-01330-21,C3N-00217-22,C3N-02193-25
77,C3L-01330-22,C3N-00217-24,C3N-02193-26
78,C3L-01330-24,C3N-00217-26,C3N-02193-27
79,C3L-01330-23,C3N-00217-21,C3N-02193-21
80,C3L-01330-25,C3N-00217-23,C3N-02193-22
81,C3L-01330-26,C3N-00217-27,C3N-02193-23
82,C3L-01632-22,C3L-02348-22,C3N-02193-24
83,C3L-01632-26,C3L-02348-26,C3L-01889-21
84,C3L-01632-21,C3L-02348-21,C3L-01889-26
85,C3L-01632-23,C3N-03238-21,C3N-00551-24
86,C3L-01683-26,C3N-03238-26,C3N-00551-26
87,C3L-01683-27,C3N-03238-22,C3N-00551-21
88,C3L-01683-29,C3N-03238-23,C3N-00551-22
89,C3L-01683-28,C3N-02586-21,C3N-00551-23
90,C3L-01862-21,C3N-02586-22,C3N-00551-27
91,C3L-01862-22,C3N-02586-23,C3N-00560-22
92,C3L-01862-23,C3L-02219-21,C3N-00560-26
93,C3L-01862-26,C3L-02219-26,C3N-00560-21
94,C3L-01890-22,C3L-02219-22,C3N-00560-23
95,C3L-01890-26,,C3N-00560-24
96,C3L-01924-23,,C3N-00560-27
97,C3L-01924-25,,C3N-00578-24
98,C3L-01924-27,,C3N-00578-26
99,C3L-01924-21,,C3N-00578-21
100,C3L-01924-22,,C3N-00578-22
101,C3L-01924-24,,C3N-00578-23
102,C3L-01924-28,,C3N-00578-27
103,C3L-02129-23,,C3N-02234-21
104,C3L-02129-21,,C3N-02234-26
